,date,ticker,open,high,low,close,volume
0,2010-01-01,SAB,,,,,
1,2010-01-04,SAB,,,,,
2,2010-01-05,SAB,,,,,
3,2010-01-06,SAB,,,,,
4,2010-01-07,SAB,,,,,
5,2010-01-08,SAB,,,,,
6,2010-01-11,SAB,,,,,
7,2010-01-12,SAB,,,,,
8,2010-01-13,SAB,,,,,
9,2010-01-14,SAB,,,,,
10,2010-01-15,SAB,,,,,
11,2010-01-18,SAB,,,,,
12,2010-01-19,SAB,,,,,
13,2010-01-20,SAB,,,,,
14,2010-01-21,SAB,,,,,
15,2010-01-22,SAB,,,,,
16,2010-01-25,SAB,,,,,
17,2010-01-26,SAB,,,,,
18,2010-01-27,SAB,,,,,
19,2010-01-28,SAB,,,,,
20,2010-01-29,SAB,,,,,
21,2010-02-01,SAB,,,,,
22,2010-02-02,SAB,,,,,
23,2010-02-03,SAB,,,,,
24,2010-02-04,SAB,,,,,
25,2010-02-05,SAB,,,,,
26,2010-02-08,SAB,,,,,
27,2010-02-09,SAB,,,,,
28,2010-02-10,SAB,,,,,
29,2010-02-11,SAB,,,,,
30,2010-02-12,SAB,,,,,
31,2010-02-15,SAB,,,,,
32,2010-02-16,SAB,,,,,
33,2010-02-17,SAB,,,,,
34,2010-02-18,SAB,,,,,
35,2010-02-19,SAB,,,,,
36,2010-02-22,SAB,,,,,
37,2010-02-23,SAB,,,,,
38,2010-02-24,SAB,,,,,
39,2010-02-25,SAB,,,,,
40,2010-02-26,SAB,,,,,
41,2010-03-01,SAB,,,,,
42,2010-03-02,SAB,,,,,
43,2010-03-03,SAB,,,,,
44,2010-03-04,SAB,,,,,
45,2010-03-05,SAB,,,,,
46,2010-03-08,SAB,,,,,
47,2010-03-09,SAB,,,,,
48,2010-03-10,SAB,,,,,
49,2010-03-11,SAB,,,,,
50,2010-03-12,SAB,,,,,
51,2010-03-15,SAB,,,,,
52,2010-03-16,SAB,,,,,
53,2010-03-17,SAB,,,,,
54,2010-03-18,SAB,,,,,
55,2010-03-19,SAB,,,,,
56,2010-03-22,SAB,,,,,
57,2010-03-23,SAB,,,,,
58,2010-03-24,SAB,,,,,
59,2010-03-25,SAB,,,,,
60,2010-03-26,SAB,,,,,
61,2010-03-29,SAB,,,,,
62,2010-03-30,SAB,,,,,
63,2010-03-31,SAB,,,,,
64,2010-04-01,SAB,,,,,
65,2010-04-02,SAB,,,,,
66,2010-04-05,SAB,,,,,
67,2010-04-06,SAB,,,,,
68,2010-04-07,SAB,,,,,
69,2010-04-08,SAB,,,,,
70,2010-04-09,SAB,,,,,
71,2010-04-12,SAB,,,,,
72,2010-04-13,SAB,,,,,
73,2010-04-14,SAB,,,,,
74,2010-04-15,SAB,,,,,
75,2010-04-16,SAB,,,,,
76,2010-04-19,SAB,,,,,
77,2010-04-20,SAB,,,,,
78,2010-04-21,SAB,,,,,
79,2010-04-22,SAB,,,,,
80,2010-04-23,SAB,,,,,
81,2010-04-26,SAB,,,,,
82,2010-04-27,SAB,,,,,
83,2010-04-28,SAB,,,,,
84,2010-04-29,SAB,,,,,
85,2010-04-30,SAB,,,,,
86,2010-05-03,SAB,,,,,
87,2010-05-04,SAB,,,,,
88,2010-05-05,SAB,,,,,
89,2010-05-06,SAB,,,,,
90,2010-05-07,SAB,,,,,
91,2010-05-10,SAB,,,,,
92,2010-05-11,SAB,,,,,
93,2010-05-12,SAB,,,,,
94,2010-05-13,SAB,,,,,
95,2010-05-14,SAB,,,,,
96,2010-05-17,SAB,,,,,
97,2010-05-18,SAB,,,,,
98,2010-05-19,SAB,,,,,
99,2010-05-20,SAB,,,,,
100,2010-05-21,SAB,,,,,
101,2010-05-24,SAB,,,,,
102,2010-05-25,SAB,,,,,
103,2010-05-26,SAB,,,,,
104,2010-05-27,SAB,,,,,
105,2010-05-28,SAB,,,,,
106,2010-05-31,SAB,,,,,
107,2010-06-01,SAB,,,,,
108,2010-06-02,SAB,,,,,
109,2010-06-03,SAB,,,,,
110,2010-06-04,SAB,,,,,
111,2010-06-07,SAB,,,,,
112,2010-06-08,SAB,,,,,
113,2010-06-09,SAB,,,,,
114,2010-06-10,SAB,,,,,
115,2010-06-11,SAB,,,,,
116,2010-06-14,SAB,,,,,
117,2010-06-15,SAB,,,,,
118,2010-06-16,SAB,,,,,
119,2010-06-17,SAB,,,,,
120,2010-06-18,SAB,,,,,
121,2010-06-21,SAB,,,,,
122,2010-06-22,SAB,,,,,
123,2010-06-23,SAB,,,,,
124,2010-06-24,SAB,,,,,
125,2010-06-25,SAB,,,,,
126,2010-06-28,SAB,,,,,
127,2010-06-29,SAB,,,,,
128,2010-06-30,SAB,,,,,
129,2010-07-01,SAB,,,,,
130,2010-07-02,SAB,,,,,
131,2010-07-05,SAB,,,,,
132,2010-07-06,SAB,,,,,
133,2010-07-07,SAB,,,,,
134,2010-07-08,SAB,,,,,
135,2010-07-09,SAB,,,,,
136,2010-07-12,SAB,,,,,
137,2010-07-13,SAB,,,,,
138,2010-07-14,SAB,,,,,
139,2010-07-15,SAB,,,,,
140,2010-07-16,SAB,,,,,
141,2010-07-19,SAB,,,,,
142,2010-07-20,SAB,,,,,
143,2010-07-21,SAB,,,,,
144,2010-07-22,SAB,,,,,
145,2010-07-23,SAB,,,,,
146,2010-07-26,SAB,,,,,
147,2010-07-27,SAB,,,,,
148,2010-07-28,SAB,,,,,
149,2010-07-29,SAB,,,,,
150,2010-07-30,SAB,,,,,
151,2010-08-02,SAB,,,,,
152,2010-08-03,SAB,,,,,
153,2010-08-04,SAB,,,,,
154,2010-08-05,SAB,,,,,
155,2010-08-06,SAB,,,,,
156,2010-08-09,SAB,,,,,
157,2010-08-10,SAB,,,,,
158,2010-08-11,SAB,,,,,
159,2010-08-12,SAB,,,,,
160,2010-08-13,SAB,,,,,
161,2010-08-16,SAB,,,,,
162,2010-08-17,SAB,,,,,
163,2010-08-18,SAB,,,,,
164,2010-08-19,SAB,,,,,
165,2010-08-20,SAB,,,,,
166,2010-08-23,SAB,,,,,
167,2010-08-24,SAB,,,,,
168,2010-08-25,SAB,,,,,
169,2010-08-26,SAB,,,,,
170,2010-08-27,SAB,,,,,
171,2010-08-30,SAB,,,,,
172,2010-08-31,SAB,,,,,
173,2010-09-01,SAB,,,,,
174,2010-09-02,SAB,,,,,
175,2010-09-03,SAB,,,,,
176,2010-09-06,SAB,,,,,
177,2010-09-07,SAB,,,,,
178,2010-09-08,SAB,,,,,
179,2010-09-09,SAB,,,,,
180,2010-09-10,SAB,,,,,
181,2010-09-13,SAB,,,,,
182,2010-09-14,SAB,,,,,
183,2010-09-15,SAB,,,,,
184,2010-09-16,SAB,,,,,
185,2010-09-17,SAB,,,,,
186,2010-09-20,SAB,,,,,
187,2010-09-21,SAB,,,,,
188,2010-09-22,SAB,,,,,
189,2010-09-23,SAB,,,,,
190,2010-09-24,SAB,,,,,
191,2010-09-27,SAB,,,,,
192,2010-09-28,SAB,,,,,
193,2010-09-29,SAB,,,,,
194,2010-09-30,SAB,,,,,
195,2010-10-01,SAB,,,,,
196,2010-10-04,SAB,,,,,
197,2010-10-05,SAB,,,,,
198,2010-10-06,SAB,,,,,
199,2010-10-07,SAB,,,,,
200,2010-10-08,SAB,,,,,
201,2010-10-11,SAB,,,,,
202,2010-10-12,SAB,,,,,
203,2010-10-13,SAB,,,,,
204,2010-10-14,SAB,,,,,
205,2010-10-15,SAB,,,,,
206,2010-10-18,SAB,,,,,
207,2010-10-19,SAB,,,,,
208,2010-10-20,SAB,,,,,
209,2010-10-21,SAB,,,,,
210,2010-10-22,SAB,,,,,
211,2010-10-25,SAB,,,,,
212,2010-10-26,SAB,,,,,
213,2010-10-27,SAB,,,,,
214,2010-10-28,SAB,,,,,
215,2010-10-29,SAB,,,,,
216,2010-11-01,SAB,,,,,
217,2010-11-02,SAB,,,,,
218,2010-11-03,SAB,,,,,
219,2010-11-04,SAB,,,,,
220,2010-11-05,SAB,,,,,
221,2010-11-08,SAB,,,,,
222,2010-11-09,SAB,,,,,
223,2010-11-10,SAB,,,,,
224,2010-11-11,SAB,,,,,
225,2010-11-12,SAB,,,,,
226,2010-11-15,SAB,,,,,
227,2010-11-16,SAB,,,,,
228,2010-11-17,SAB,,,,,
229,2010-11-18,SAB,,,,,
230,2010-11-19,SAB,,,,,
231,2010-11-22,SAB,,,,,
232,2010-11-23,SAB,,,,,
233,2010-11-24,SAB,,,,,
234,2010-11-25,SAB,,,,,
235,2010-11-26,SAB,,,,,
236,2010-11-29,SAB,,,,,
237,2010-11-30,SAB,,,,,
238,2010-12-01,SAB,,,,,
239,2010-12-02,SAB,,,,,
240,2010-12-03,SAB,,,,,
241,2010-12-06,SAB,,,,,
242,2010-12-07,SAB,,,,,
243,2010-12-08,SAB,,,,,
244,2010-12-09,SAB,,,,,
245,2010-12-10,SAB,,,,,
246,2010-12-13,SAB,,,,,
247,2010-12-14,SAB,,,,,
248,2010-12-15,SAB,,,,,
249,2010-12-16,SAB,,,,,
250,2010-12-17,SAB,,,,,
251,2010-12-20,SAB,,,,,
252,2010-12-21,SAB,,,,,
253,2010-12-22,SAB,,,,,
254,2010-12-23,SAB,,,,,
255,2010-12-24,SAB,,,,,
256,2010-12-27,SAB,,,,,
257,2010-12-28,SAB,,,,,
258,2010-12-29,SAB,,,,,
259,2010-12-30,SAB,,,,,
260,2010-12-31,SAB,,,,,
261,2011-01-03,SAB,,,,,
262,2011-01-04,SAB,,,,,
263,2011-01-05,SAB,,,,,
264,2011-01-06,SAB,,,,,
265,2011-01-07,SAB,,,,,
266,2011-01-10,SAB,,,,,
267,2011-01-11,SAB,,,,,
268,2011-01-12,SAB,,,,,
269,2011-01-13,SAB,,,,,
270,2011-01-14,SAB,,,,,
271,2011-01-17,SAB,,,,,
272,2011-01-18,SAB,,,,,
273,2011-01-19,SAB,,,,,
274,2011-01-20,SAB,,,,,
275,2011-01-21,SAB,,,,,
276,2011-01-24,SAB,,,,,
277,2011-01-25,SAB,,,,,
278,2011-01-26,SAB,,,,,
279,2011-01-27,SAB,,,,,
280,2011-01-28,SAB,,,,,
281,2011-01-31,SAB,,,,,
282,2011-02-01,SAB,,,,,
283,2011-02-02,SAB,,,,,
284,2011-02-03,SAB,,,,,
285,2011-02-04,SAB,,,,,
286,2011-02-07,SAB,,,,,
287,2011-02-08,SAB,,,,,
288,2011-02-09,SAB,,,,,
289,2011-02-10,SAB,,,,,
290,2011-02-11,SAB,,,,,
291,2011-02-14,SAB,,,,,
292,2011-02-15,SAB,,,,,
293,2011-02-16,SAB,,,,,
294,2011-02-17,SAB,,,,,
295,2011-02-18,SAB,,,,,
296,2011-02-21,SAB,,,,,
297,2011-02-22,SAB,,,,,
298,2011-02-23,SAB,,,,,
299,2011-02-24,SAB,,,,,
300,2011-02-25,SAB,,,,,
301,2011-02-28,SAB,,,,,
302,2011-03-01,SAB,,,,,
303,2011-03-02,SAB,,,,,
304,2011-03-03,SAB,,,,,
305,2011-03-04,SAB,,,,,
306,2011-03-07,SAB,,,,,
307,2011-03-08,SAB,,,,,
308,2011-03-09,SAB,,,,,
309,2011-03-10,SAB,,,,,
310,2011-03-11,SAB,,,,,
311,2011-03-14,SAB,,,,,
312,2011-03-15,SAB,,,,,
313,2011-03-16,SAB,,,,,
314,2011-03-17,SAB,,,,,
315,2011-03-18,SAB,,,,,
316,2011-03-21,SAB,,,,,
317,2011-03-22,SAB,,,,,
318,2011-03-23,SAB,,,,,
319,2011-03-24,SAB,,,,,
320,2011-03-25,SAB,,,,,
321,2011-03-28,SAB,,,,,
322,2011-03-29,SAB,,,,,
323,2011-03-30,SAB,,,,,
324,2011-03-31,SAB,,,,,
325,2011-04-01,SAB,,,,,
326,2011-04-04,SAB,,,,,
327,2011-04-05,SAB,,,,,
328,2011-04-06,SAB,,,,,
329,2011-04-07,SAB,,,,,
330,2011-04-08,SAB,,,,,
331,2011-04-11,SAB,,,,,
332,2011-04-12,SAB,,,,,
333,2011-04-13,SAB,,,,,
334,2011-04-14,SAB,,,,,
335,2011-04-15,SAB,,,,,
336,2011-04-18,SAB,,,,,
337,2011-04-19,SAB,,,,,
338,2011-04-20,SAB,,,,,
339,2011-04-21,SAB,,,,,
340,2011-04-22,SAB,,,,,
341,2011-04-25,SAB,,,,,
342,2011-04-26,SAB,,,,,
343,2011-04-27,SAB,,,,,
