,date,ticker,open,high,low,close,volume
0,2010-01-01,TCB,,,,,
1,2010-01-04,TCB,,,,,
2,2010-01-05,TCB,,,,,
3,2010-01-06,TCB,,,,,
4,2010-01-07,TCB,,,,,
5,2010-01-08,TCB,,,,,
6,2010-01-11,TCB,,,,,
7,2010-01-12,TCB,,,,,
8,2010-01-13,TCB,,,,,
9,2010-01-14,TCB,,,,,
10,2010-01-15,TCB,,,,,
11,2010-01-18,TCB,,,,,
12,2010-01-19,TCB,,,,,
13,2010-01-20,TCB,,,,,
14,2010-01-21,TCB,,,,,
15,2010-01-22,TCB,,,,,
16,2010-01-25,TCB,,,,,
17,2010-01-26,TCB,,,,,
18,2010-01-27,TCB,,,,,
19,2010-01-28,TCB,,,,,
20,2010-01-29,TCB,,,,,
21,2010-02-01,TCB,,,,,
22,2010-02-02,TCB,,,,,
23,2010-02-03,TCB,,,,,
24,2010-02-04,TCB,,,,,
25,2010-02-05,TCB,,,,,
26,2010-02-08,TCB,,,,,
27,2010-02-09,TCB,,,,,
28,2010-02-10,TCB,,,,,
29,2010-02-11,TCB,,,,,
30,2010-02-12,TCB,,,,,
31,2010-02-15,TCB,,,,,
32,2010-02-16,TCB,,,,,
33,2010-02-17,TCB,,,,,
34,2010-02-18,TCB,,,,,
35,2010-02-19,TCB,,,,,
36,2010-02-22,TCB,,,,,
37,2010-02-23,TCB,,,,,
38,2010-02-24,TCB,,,,,
39,2010-02-25,TCB,,,,,
40,2010-02-26,TCB,,,,,
41,2010-03-01,TCB,,,,,
42,2010-03-02,TCB,,,,,
43,2010-03-03,TCB,,,,,
44,2010-03-04,TCB,,,,,
45,2010-03-05,TCB,,,,,
46,2010-03-08,TCB,,,,,
47,2010-03-09,TCB,,,,,
48,2010-03-10,TCB,,,,,
49,2010-03-11,TCB,,,,,
50,2010-03-12,TCB,,,,,
51,2010-03-15,TCB,,,,,
52,2010-03-16,TCB,,,,,
53,2010-03-17,TCB,,,,,
54,2010-03-18,TCB,,,,,
55,2010-03-19,TCB,,,,,
56,2010-03-22,TCB,,,,,
57,2010-03-23,TCB,,,,,
58,2010-03-24,TCB,,,,,
59,2010-03-25,TCB,,,,,
60,2010-03-26,TCB,,,,,
61,2010-03-29,TCB,,,,,
62,2010-03-30,TCB,,,,,
63,2010-03-31,TCB,,,,,
64,2010-04-01,TCB,,,,,
65,2010-04-02,TCB,,,,,
66,2010-04-05,TCB,,,,,
67,2010-04-06,TCB,,,,,
68,2010-04-07,TCB,,,,,
69,2010-04-08,TCB,,,,,
70,2010-04-09,TCB,,,,,
71,2010-04-12,TCB,,,,,
72,2010-04-13,TCB,,,,,
73,2010-04-14,TCB,,,,,
74,2010-04-15,TCB,,,,,
75,2010-04-16,TCB,,,,,
76,2010-04-19,TCB,,,,,
77,2010-04-20,TCB,,,,,
78,2010-04-21,TCB,,,,,
79,2010-04-22,TCB,,,,,
80,2010-04-23,TCB,,,,,
81,2010-04-26,TCB,,,,,
82,2010-04-27,TCB,,,,,
83,2010-04-28,TCB,,,,,
84,2010-04-29,TCB,,,,,
85,2010-04-30,TCB,,,,,
86,2010-05-03,TCB,,,,,
87,2010-05-04,TCB,,,,,
88,2010-05-05,TCB,,,,,
89,2010-05-06,TCB,,,,,
90,2010-05-07,TCB,,,,,
91,2010-05-10,TCB,,,,,
92,2010-05-11,TCB,,,,,
93,2010-05-12,TCB,,,,,
94,2010-05-13,TCB,,,,,
95,2010-05-14,TCB,,,,,
96,2010-05-17,TCB,,,,,
97,2010-05-18,TCB,,,,,
98,2010-05-19,TCB,,,,,
99,2010-05-20,TCB,,,,,
100,2010-05-21,TCB,,,,,
101,2010-05-24,TCB,,,,,
102,2010-05-25,TCB,,,,,
103,2010-05-26,TCB,,,,,
104,2010-05-27,TCB,,,,,
105,2010-05-28,TCB,,,,,
106,2010-05-31,TCB,,,,,
107,2010-06-01,TCB,,,,,
