,date,ticker,open,high,low,close,volume
0,2010-01-01,GAS,,,,,
1,2010-01-04,GAS,,,,,
2,2010-01-05,GAS,,,,,
3,2010-01-06,GAS,,,,,
4,2010-01-07,GAS,,,,,
5,2010-01-08,GAS,,,,,
6,2010-01-11,GAS,,,,,
7,2010-01-12,GAS,,,,,
8,2010-01-13,GAS,,,,,
9,2010-01-14,GAS,,,,,
10,2010-01-15,GAS,,,,,
11,2010-01-18,GAS,,,,,
12,2010-01-19,GAS,,,,,
13,2010-01-20,GAS,,,,,
14,2010-01-21,GAS,,,,,
15,2010-01-22,GAS,,,,,
16,2010-01-25,GAS,,,,,
17,2010-01-26,GAS,,,,,
18,2010-01-27,GAS,,,,,
19,2010-01-28,GAS,,,,,
20,2010-01-29,GAS,,,,,
21,2010-02-01,GAS,,,,,
22,2010-02-02,GAS,,,,,
23,2010-02-03,GAS,,,,,
24,2010-02-04,GAS,,,,,
25,2010-02-05,GAS,,,,,
26,2010-02-08,GAS,,,,,
27,2010-02-09,GAS,,,,,
28,2010-02-10,GAS,,,,,
29,2010-02-11,GAS,,,,,
30,2010-02-12,GAS,,,,,
31,2010-02-15,GAS,,,,,
32,2010-02-16,GAS,,,,,
33,2010-02-17,GAS,,,,,
34,2010-02-18,GAS,,,,,
35,2010-02-19,GAS,,,,,
36,2010-02-22,GAS,,,,,
37,2010-02-23,GAS,,,,,
38,2010-02-24,GAS,,,,,
39,2010-02-25,GAS,,,,,
40,2010-02-26,GAS,,,,,
41,2010-03-01,GAS,,,,,
42,2010-03-02,GAS,,,,,
43,2010-03-03,GAS,,,,,
44,2010-03-04,GAS,,,,,
45,2010-03-05,GAS,,,,,
46,2010-03-08,GAS,,,,,
47,2010-03-09,GAS,,,,,
48,2010-03-10,GAS,,,,,
49,2010-03-11,GAS,,,,,
50,2010-03-12,GAS,,,,,
51,2010-03-15,GAS,,,,,
52,2010-03-16,GAS,,,,,
53,2010-03-17,GAS,,,,,
54,2010-03-18,GAS,,,,,
55,2010-03-19,GAS,,,,,
56,2010-03-22,GAS,,,,,
57,2010-03-23,GAS,,,,,
58,2010-03-24,GAS,,,,,
59,2010-03-25,GAS,,,,,
60,2010-03-26,GAS,,,,,
61,2010-03-29,GAS,,,,,
62,2010-03-30,GAS,,,,,
63,2010-03-31,GAS,,,,,
64,2010-04-01,GAS,,,,,
65,2010-04-02,GAS,,,,,
66,2010-04-05,GAS,,,,,
67,2010-04-06,GAS,,,,,
68,2010-04-07,GAS,,,,,
69,2010-04-08,GAS,,,,,
70,2010-04-09,GAS,,,,,
71,2010-04-12,GAS,,,,,
72,2010-04-13,GAS,,,,,
73,2010-04-14,GAS,,,,,
74,2010-04-15,GAS,,,,,
75,2010-04-16,GAS,,,,,
76,2010-04-19,GAS,,,,,
77,2010-04-20,GAS,,,,,
78,2010-04-21,GAS,,,,,
79,2010-04-22,GAS,,,,,
80,2010-04-23,GAS,,,,,
81,2010-04-26,GAS,,,,,
82,2010-04-27,GAS,,,,,
83,2010-04-28,GAS,,,,,
84,2010-04-29,GAS,,,,,
85,2010-04-30,GAS,,,,,
86,2010-05-03,GAS,,,,,
87,2010-05-04,GAS,,,,,
88,2010-05-05,GAS,,,,,
89,2010-05-06,GAS,,,,,
90,2010-05-07,GAS,,,,,
91,2010-05-10,GAS,,,,,
92,2010-05-11,GAS,,,,,
93,2010-05-12,GAS,,,,,
94,2010-05-13,GAS,,,,,
95,2010-05-14,GAS,,,,,
96,2010-05-17,GAS,,,,,
97,2010-05-18,GAS,,,,,
98,2010-05-19,GAS,,,,,
99,2010-05-20,GAS,,,,,
100,2010-05-21,GAS,,,,,
101,2010-05-24,GAS,,,,,
102,2010-05-25,GAS,,,,,
103,2010-05-26,GAS,,,,,
104,2010-05-27,GAS,,,,,
105,2010-05-28,GAS,,,,,
106,2010-05-31,GAS,,,,,
107,2010-06-01,GAS,,,,,
108,2010-06-02,GAS,,,,,
109,2010-06-03,GAS,,,,,
110,2010-06-04,GAS,,,,,
111,2010-06-07,GAS,,,,,
112,2010-06-08,GAS,,,,,
113,2010-06-09,GAS,,,,,
114,2010-06-10,GAS,,,,,
115,2010-06-11,GAS,,,,,
116,2010-06-14,GAS,,,,,
117,2010-06-15,GAS,,,,,
118,2010-06-16,GAS,,,,,
119,2010-06-17,GAS,,,,,
120,2010-06-18,GAS,,,,,
121,2010-06-21,GAS,,,,,
122,2010-06-22,GAS,,,,,
123,2010-06-23,GAS,,,,,
124,2010-06-24,GAS,,,,,
125,2010-06-25,GAS,,,,,
126,2010-06-28,GAS,,,,,
127,2010-06-29,GAS,,,,,
128,2010-06-30,GAS,,,,,
129,2010-07-01,GAS,,,,,
130,2010-07-02,GAS,,,,,
131,2010-07-05,GAS,,,,,
132,2010-07-06,GAS,,,,,
133,2010-07-07,GAS,,,,,
134,2010-07-08,GAS,,,,,
135,2010-07-09,GAS,,,,,
136,2010-07-12,GAS,,,,,
137,2010-07-13,GAS,,,,,
138,2010-07-14,GAS,,,,,
139,2010-07-15,GAS,,,,,
140,2010-07-16,GAS,,,,,
141,2010-07-19,GAS,,,,,
142,2010-07-20,GAS,,,,,
143,2010-07-21,GAS,,,,,
144,2010-07-22,GAS,,,,,
145,2010-07-23,GAS,,,,,
146,2010-07-26,GAS,,,,,
147,2010-07-27,GAS,,,,,
148,2010-07-28,GAS,,,,,
149,2010-07-29,GAS,,,,,
150,2010-07-30,GAS,,,,,
151,2010-08-02,GAS,,,,,
152,2010-08-03,GAS,,,,,
153,2010-08-04,GAS,,,,,
154,2010-08-05,GAS,,,,,
155,2010-08-06,GAS,,,,,
156,2010-08-09,GAS,,,,,
157,2010-08-10,GAS,,,,,
158,2010-08-11,GAS,,,,,
159,2010-08-12,GAS,,,,,
160,2010-08-13,GAS,,,,,
161,2010-08-16,GAS,,,,,
162,2010-08-17,GAS,,,,,
163,2010-08-18,GAS,,,,,
164,2010-08-19,GAS,,,,,
165,2010-08-20,GAS,,,,,
166,2010-08-23,GAS,,,,,
167,2010-08-24,GAS,,,,,
168,2010-08-25,GAS,,,,,
169,2010-08-26,GAS,,,,,
170,2010-08-27,GAS,,,,,
171,2010-08-30,GAS,,,,,
172,2010-08-31,GAS,,,,,
173,2010-09-01,GAS,,,,,
174,2010-09-02,GAS,,,,,
175,2010-09-03,GAS,,,,,
176,2010-09-06,GAS,,,,,
177,2010-09-07,GAS,,,,,
178,2010-09-08,GAS,,,,,
179,2010-09-09,GAS,,,,,
180,2010-09-10,GAS,,,,,
181,2010-09-13,GAS,,,,,
182,2010-09-14,GAS,,,,,
183,2010-09-15,GAS,,,,,
184,2010-09-16,GAS,,,,,
185,2010-09-17,GAS,,,,,
186,2010-09-20,GAS,,,,,
187,2010-09-21,GAS,,,,,
188,2010-09-22,GAS,,,,,
189,2010-09-23,GAS,,,,,
190,2010-09-24,GAS,,,,,
191,2010-09-27,GAS,,,,,
192,2010-09-28,GAS,,,,,
193,2010-09-29,GAS,,,,,
194,2010-09-30,GAS,,,,,
195,2010-10-01,GAS,,,,,
196,2010-10-04,GAS,,,,,
197,2010-10-05,GAS,,,,,
198,2010-10-06,GAS,,,,,
199,2010-10-07,GAS,,,,,
200,2010-10-08,GAS,,,,,
201,2010-10-11,GAS,,,,,
202,2010-10-12,GAS,,,,,
203,2010-10-13,GAS,,,,,
204,2010-10-14,GAS,,,,,
205,2010-10-15,GAS,,,,,
206,2010-10-18,GAS,,,,,
207,2010-10-19,GAS,,,,,
208,2010-10-20,GAS,,,,,
209,2010-10-21,GAS,,,,,
210,2010-10-22,GAS,,,,,
211,2010-10-25,GAS,,,,,
212,2010-10-26,GAS,,,,,
213,2010-10-27,GAS,,,,,
214,2010-10-28,GAS,,,,,
215,2010-10-29,GAS,,,,,
216,2010-11-01,GAS,,,,,
217,2010-11-02,GAS,,,,,
218,2010-11-03,GAS,,,,,
219,2010-11-04,GAS,,,,,
220,2010-11-05,GAS,,,,,
221,2010-11-08,GAS,,,,,
222,2010-11-09,GAS,,,,,
223,2010-11-10,GAS,,,,,
224,2010-11-11,GAS,,,,,
225,2010-11-12,GAS,,,,,
226,2010-11-15,GAS,,,,,
227,2010-11-16,GAS,,,,,
228,2010-11-17,GAS,,,,,
229,2010-11-18,GAS,,,,,
230,2010-11-19,GAS,,,,,
231,2010-11-22,GAS,,,,,
232,2010-11-23,GAS,,,,,
233,2010-11-24,GAS,,,,,
234,2010-11-25,GAS,,,,,
235,2010-11-26,GAS,,,,,
236,2010-11-29,GAS,,,,,
237,2010-11-30,GAS,,,,,
238,2010-12-01,GAS,,,,,
239,2010-12-02,GAS,,,,,
240,2010-12-03,GAS,,,,,
241,2010-12-06,GAS,,,,,
242,2010-12-07,GAS,,,,,
243,2010-12-08,GAS,,,,,
244,2010-12-09,GAS,,,,,
245,2010-12-10,GAS,,,,,
246,2010-12-13,GAS,,,,,
247,2010-12-14,GAS,,,,,
248,2010-12-15,GAS,,,,,
249,2010-12-16,GAS,,,,,
250,2010-12-17,GAS,,,,,
251,2010-12-20,GAS,,,,,
252,2010-12-21,GAS,,,,,
253,2010-12-22,GAS,,,,,
254,2010-12-23,GAS,,,,,
255,2010-12-24,GAS,,,,,
256,2010-12-27,GAS,,,,,
257,2010-12-28,GAS,,,,,
258,2010-12-29,GAS,,,,,
259,2010-12-30,GAS,,,,,
260,2010-12-31,GAS,,,,,
261,2011-01-03,GAS,,,,,
262,2011-01-04,GAS,,,,,
263,2011-01-05,GAS,,,,,
264,2011-01-06,GAS,,,,,
265,2011-01-07,GAS,,,,,
266,2011-01-10,GAS,,,,,
267,2011-01-11,GAS,,,,,
268,2011-01-12,GAS,,,,,
269,2011-01-13,GAS,,,,,
270,2011-01-14,GAS,,,,,
271,2011-01-17,GAS,,,,,
272,2011-01-18,GAS,,,,,
273,2011-01-19,GAS,,,,,
274,2011-01-20,GAS,,,,,
275,2011-01-21,GAS,,,,,
276,2011-01-24,GAS,,,,,
277,2011-01-25,GAS,,,,,
278,2011-01-26,GAS,,,,,
279,2011-01-27,GAS,,,,,
280,2011-01-28,GAS,,,,,
281,2011-01-31,GAS,,,,,
282,2011-02-01,GAS,,,,,
283,2011-02-02,GAS,,,,,
284,2011-02-03,GAS,,,,,
285,2011-02-04,GAS,,,,,
286,2011-02-07,GAS,,,,,
287,2011-02-08,GAS,,,,,
288,2011-02-09,GAS,,,,,
289,2011-02-10,GAS,,,,,
290,2011-02-11,GAS,,,,,
291,2011-02-14,GAS,,,,,
292,2011-02-15,GAS,,,,,
293,2011-02-16,GAS,,,,,
294,2011-02-17,GAS,,,,,
295,2011-02-18,GAS,,,,,
296,2011-02-21,GAS,,,,,
297,2011-02-22,GAS,,,,,
298,2011-02-23,GAS,,,,,
299,2011-02-24,GAS,,,,,
300,2011-02-25,GAS,,,,,
301,2011-02-28,GAS,,,,,
302,2011-03-01,GAS,,,,,
303,2011-03-02,GAS,,,,,
304,2011-03-03,GAS,,,,,
305,2011-03-04,GAS,,,,,
306,2011-03-07,GAS,,,,,
307,2011-03-08,GAS,,,,,
308,2011-03-09,GAS,,,,,
309,2011-03-10,GAS,,,,,
310,2011-03-11,GAS,,,,,
311,2011-03-14,GAS,,,,,
312,2011-03-15,GAS,,,,,
313,2011-03-16,GAS,,,,,
314,2011-03-17,GAS,,,,,
315,2011-03-18,GAS,,,,,
316,2011-03-21,GAS,,,,,
317,2011-03-22,GAS,,,,,
318,2011-03-23,GAS,,,,,
319,2011-03-24,GAS,,,,,
320,2011-03-25,GAS,,,,,
321,2011-03-28,GAS,,,,,
322,2011-03-29,GAS,,,,,
323,2011-03-30,GAS,,,,,
324,2011-03-31,GAS,,,,,
325,2011-04-01,GAS,,,,,
326,2011-04-04,GAS,,,,,
327,2011-04-05,GAS,,,,,
328,2011-04-06,GAS,,,,,
329,2011-04-07,GAS,,,,,
330,2011-04-08,GAS,,,,,
331,2011-04-11,GAS,,,,,
332,2011-04-12,GAS,,,,,
333,2011-04-13,GAS,,,,,
334,2011-04-14,GAS,,,,,
335,2011-04-15,GAS,,,,,
336,2011-04-18,GAS,,,,,
337,2011-04-19,GAS,,,,,
338,2011-04-20,GAS,,,,,
339,2011-04-21,GAS,,,,,
340,2011-04-22,GAS,,,,,
341,2011-04-25,GAS,,,,,
342,2011-04-26,GAS,,,,,
343,2011-04-27,GAS,,,,,
344,2011-04-28,GAS,,,,,
345,2011-04-29,GAS,,,,,
346,2011-05-02,GAS,,,,,
347,2011-05-03,GAS,,,,,
348,2011-05-04,GAS,,,,,
349,2011-05-05,GAS,,,,,
350,2011-05-06,GAS,,,,,
351,2011-05-09,GAS,,,,,
352,2011-05-10,GAS,,,,,
353,2011-05-11,GAS,,,,,
354,2011-05-12,GAS,,,,,
355,2011-05-13,GAS,,,,,
356,2011-05-16,GAS,,,,,
357,2011-05-17,GAS,,,,,
358,2011-05-18,GAS,,,,,
359,2011-05-19,GAS,,,,,
360,2011-05-20,GAS,,,,,
361,2011-05-23,GAS,,,,,
362,2011-05-24,GAS,,,,,
363,2011-05-25,GAS,,,,,
364,2011-05-26,GAS,,,,,
365,2011-05-27,GAS,,,,,
366,2011-05-30,GAS,,,,,
