,date,ticker,open,high,low,close,volume
0,2010-01-01,VHM,,,,,
1,2010-01-04,VHM,,,,,
2,2010-01-05,VHM,,,,,
3,2010-01-06,VHM,,,,,
4,2010-01-07,VHM,,,,,
5,2010-01-08,VHM,,,,,
6,2010-01-11,VHM,,,,,
7,2010-01-12,VHM,,,,,
8,2010-01-13,VHM,,,,,
9,2010-01-14,VHM,,,,,
10,2010-01-15,VHM,,,,,
11,2010-01-18,VHM,,,,,
12,2010-01-19,VHM,,,,,
13,2010-01-20,VHM,,,,,
14,2010-01-21,VHM,,,,,
15,2010-01-22,VHM,,,,,
16,2010-01-25,VHM,,,,,
17,2010-01-26,VHM,,,,,
18,2010-01-27,VHM,,,,,
19,2010-01-28,VHM,,,,,
20,2010-01-29,VHM,,,,,
21,2010-02-01,VHM,,,,,
22,2010-02-02,VHM,,,,,
23,2010-02-03,VHM,,,,,
24,2010-02-04,VHM,,,,,
25,2010-02-05,VHM,,,,,
26,2010-02-08,VHM,,,,,
27,2010-02-09,VHM,,,,,
28,2010-02-10,VHM,,,,,
29,2010-02-11,VHM,,,,,
30,2010-02-12,VHM,,,,,
31,2010-02-15,VHM,,,,,
32,2010-02-16,VHM,,,,,
33,2010-02-17,VHM,,,,,
34,2010-02-18,VHM,,,,,
35,2010-02-19,VHM,,,,,
36,2010-02-22,VHM,,,,,
37,2010-02-23,VHM,,,,,
38,2010-02-24,VHM,,,,,
39,2010-02-25,VHM,,,,,
40,2010-02-26,VHM,,,,,
41,2010-03-01,VHM,,,,,
42,2010-03-02,VHM,,,,,
43,2010-03-03,VHM,,,,,
44,2010-03-04,VHM,,,,,
45,2010-03-05,VHM,,,,,
46,2010-03-08,VHM,,,,,
47,2010-03-09,VHM,,,,,
48,2010-03-10,VHM,,,,,
49,2010-03-11,VHM,,,,,
50,2010-03-12,VHM,,,,,
51,2010-03-15,VHM,,,,,
52,2010-03-16,VHM,,,,,
53,2010-03-17,VHM,,,,,
54,2010-03-18,VHM,,,,,
55,2010-03-19,VHM,,,,,
56,2010-03-22,VHM,,,,,
57,2010-03-23,VHM,,,,,
58,2010-03-24,VHM,,,,,
59,2010-03-25,VHM,,,,,
60,2010-03-26,VHM,,,,,
