,date,ticker,open,high,low,close,volume
0,2010-01-01,HDB,,,,,
1,2010-01-04,HDB,,,,,
2,2010-01-05,HDB,,,,,
3,2010-01-06,HDB,,,,,
4,2010-01-07,HDB,,,,,
5,2010-01-08,HDB,,,,,
6,2010-01-11,HDB,,,,,
7,2010-01-12,HDB,,,,,
8,2010-01-13,HDB,,,,,
9,2010-01-14,HDB,,,,,
10,2010-01-15,HDB,,,,,
11,2010-01-18,HDB,,,,,
12,2010-01-19,HDB,,,,,
13,2010-01-20,HDB,,,,,
14,2010-01-21,HDB,,,,,
15,2010-01-22,HDB,,,,,
16,2010-01-25,HDB,,,,,
17,2010-01-26,HDB,,,,,
18,2010-01-27,HDB,,,,,
19,2010-01-28,HDB,,,,,
20,2010-01-29,HDB,,,,,
21,2010-02-01,HDB,,,,,
22,2010-02-02,HDB,,,,,
23,2010-02-03,HDB,,,,,
24,2010-02-04,HDB,,,,,
25,2010-02-05,HDB,,,,,
26,2010-02-08,HDB,,,,,
27,2010-02-09,HDB,,,,,
28,2010-02-10,HDB,,,,,
29,2010-02-11,HDB,,,,,
30,2010-02-12,HDB,,,,,
31,2010-02-15,HDB,,,,,
32,2010-02-16,HDB,,,,,
33,2010-02-17,HDB,,,,,
34,2010-02-18,HDB,,,,,
35,2010-02-19,HDB,,,,,
36,2010-02-22,HDB,,,,,
37,2010-02-23,HDB,,,,,
38,2010-02-24,HDB,,,,,
39,2010-02-25,HDB,,,,,
40,2010-02-26,HDB,,,,,
41,2010-03-01,HDB,,,,,
42,2010-03-02,HDB,,,,,
43,2010-03-03,HDB,,,,,
44,2010-03-04,HDB,,,,,
45,2010-03-05,HDB,,,,,
46,2010-03-08,HDB,,,,,
47,2010-03-09,HDB,,,,,
48,2010-03-10,HDB,,,,,
49,2010-03-11,HDB,,,,,
50,2010-03-12,HDB,,,,,
51,2010-03-15,HDB,,,,,
52,2010-03-16,HDB,,,,,
53,2010-03-17,HDB,,,,,
54,2010-03-18,HDB,,,,,
55,2010-03-19,HDB,,,,,
56,2010-03-22,HDB,,,,,
57,2010-03-23,HDB,,,,,
58,2010-03-24,HDB,,,,,
59,2010-03-25,HDB,,,,,
60,2010-03-26,HDB,,,,,
61,2010-03-29,HDB,,,,,
62,2010-03-30,HDB,,,,,
63,2010-03-31,HDB,,,,,
64,2010-04-01,HDB,,,,,
65,2010-04-02,HDB,,,,,
66,2010-04-05,HDB,,,,,
67,2010-04-06,HDB,,,,,
68,2010-04-07,HDB,,,,,
69,2010-04-08,HDB,,,,,
70,2010-04-09,HDB,,,,,
71,2010-04-12,HDB,,,,,
72,2010-04-13,HDB,,,,,
73,2010-04-14,HDB,,,,,
74,2010-04-15,HDB,,,,,
75,2010-04-16,HDB,,,,,
76,2010-04-19,HDB,,,,,
77,2010-04-20,HDB,,,,,
78,2010-04-21,HDB,,,,,
79,2010-04-22,HDB,,,,,
80,2010-04-23,HDB,,,,,
81,2010-04-26,HDB,,,,,
82,2010-04-27,HDB,,,,,
83,2010-04-28,HDB,,,,,
84,2010-04-29,HDB,,,,,
85,2010-04-30,HDB,,,,,
86,2010-05-03,HDB,,,,,
87,2010-05-04,HDB,,,,,
88,2010-05-05,HDB,,,,,
89,2010-05-06,HDB,,,,,
90,2010-05-07,HDB,,,,,
91,2010-05-10,HDB,,,,,
92,2010-05-11,HDB,,,,,
93,2010-05-12,HDB,,,,,
94,2010-05-13,HDB,,,,,
95,2010-05-14,HDB,,,,,
96,2010-05-17,HDB,,,,,
97,2010-05-18,HDB,,,,,
98,2010-05-19,HDB,,,,,
99,2010-05-20,HDB,,,,,
100,2010-05-21,HDB,,,,,
101,2010-05-24,HDB,,,,,
102,2010-05-25,HDB,,,,,
103,2010-05-26,HDB,,,,,
104,2010-05-27,HDB,,,,,
105,2010-05-28,HDB,,,,,
106,2010-05-31,HDB,,,,,
107,2010-06-01,HDB,,,,,
108,2010-06-02,HDB,,,,,
109,2010-06-03,HDB,,,,,
110,2010-06-04,HDB,,,,,
111,2010-06-07,HDB,,,,,
112,2010-06-08,HDB,,,,,
113,2010-06-09,HDB,,,,,
114,2010-06-10,HDB,,,,,
115,2010-06-11,HDB,,,,,
116,2010-06-14,HDB,,,,,
117,2010-06-15,HDB,,,,,
118,2010-06-16,HDB,,,,,
119,2010-06-17,HDB,,,,,
120,2010-06-18,HDB,,,,,
121,2010-06-21,HDB,,,,,
122,2010-06-22,HDB,,,,,
123,2010-06-23,HDB,,,,,
124,2010-06-24,HDB,,,,,
125,2010-06-25,HDB,,,,,
126,2010-06-28,HDB,,,,,
127,2010-06-29,HDB,,,,,
128,2010-06-30,HDB,,,,,
129,2010-07-01,HDB,,,,,
130,2010-07-02,HDB,,,,,
131,2010-07-05,HDB,,,,,
132,2010-07-06,HDB,,,,,
133,2010-07-07,HDB,,,,,
134,2010-07-08,HDB,,,,,
135,2010-07-09,HDB,,,,,
136,2010-07-12,HDB,,,,,
137,2010-07-13,HDB,,,,,
138,2010-07-14,HDB,,,,,
139,2010-07-15,HDB,,,,,
140,2010-07-16,HDB,,,,,
141,2010-07-19,HDB,,,,,
142,2010-07-20,HDB,,,,,
143,2010-07-21,HDB,,,,,
144,2010-07-22,HDB,,,,,
145,2010-07-23,HDB,,,,,
146,2010-07-26,HDB,,,,,
147,2010-07-27,HDB,,,,,
148,2010-07-28,HDB,,,,,
149,2010-07-29,HDB,,,,,
150,2010-07-30,HDB,,,,,
151,2010-08-02,HDB,,,,,
152,2010-08-03,HDB,,,,,
153,2010-08-04,HDB,,,,,
154,2010-08-05,HDB,,,,,
155,2010-08-06,HDB,,,,,
156,2010-08-09,HDB,,,,,
157,2010-08-10,HDB,,,,,
158,2010-08-11,HDB,,,,,
